,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
182,1290007,0.4311,0.0001,9.303218,0.04448697,0.8304367,0.09321231,9.866952,0.014483992,0.752018,0.01654727
183,1290332,0.5692,0.0001,9.622592,0.0957087,1.3357391,0.20819333,10.203904,0.0132201975,0.8669777,0.022904461
184,1290995,0.5435,0.0001,9.301542,0.058705483,0.8293953,0.09048651,10.288877,0.013696957,0.8014908,0.020935552
185,1291090,0.292,0.0001,8.993149,0.04589156,0.49301147,0.046955287,9.377603,0.04604988,0.27437592,0.028116044
186,1291155,0.5109,0.0001,9.376088,0.07596488,1.3130989,0.12371833,10.704977,0.045188785,1.7127914,0.022159137
187,1291159,0.5398,0.0001,9.795175,0.09429344,1.6715546,0.092214935,11.101107,0.044236578,1.7329559,0.024174664
188,1291242,0.2791,0.0001,9.441736,0.06398176,0.72200394,0.06493759,9.863144,0.017366866,0.5505867,0.019852335
189,1291254,0.3502,0.0001,9.466304,0.034748003,0.9787636,0.047704246,9.906858,0.01056266,0.99489975,0.015266408
190,1291783,0.3985,0.0001,9.524239,0.05190466,0.9583473,0.06328806,10.217843,0.018661588,0.9150734,0.016506275
191,1291788,0.384,0.0001,8.485169,0.041280206,0.24729538,0.048289917,9.064631,0.022870515,0.27733994,0.020138117
192,1291794,0.3951,0.0001,9.385337,0.038177893,1.2585678,0.055434085,10.598685,0.036927793,1.3535767,0.012690306
193,1292033,0.3247,0.0001,8.716807,0.06135583,0.6517296,0.04450149,8.934769,0.029552504,0.4785843,0.02938537
194,1292332,0.2726,0.0001,10.012971,0.09686315,1.7007103,0.058811873,10.198445,0.04348559,1.6807594,0.027477589
195,1292650,0.4904,0.0001,9.793338,0.09908728,1.852932,0.1431547,10.091142,0.027299596,1.4324303,0.047064774
196,1292997,0.4145,0.0001,9.974791,0.09737044,1.8741493,0.08368857,11.206772,0.030496802,1.6822243,0.014244288
197,1293006,0.5043,0.0001,10.461556,0.14641978,1.7411919,0.08461495,11.160527,0.038006164,1.6707458,0.018958371
198,1293366,0.3204,0.0001,10.740068,0.08749843,2.0171814,0.050475582,11.138131,0.11643472,1.8737907,0.0188372
199,1293921,0.5049,0.0001,9.372598,0.055655736,1.0197983,0.18572043,10.372902,0.013693575,0.999115,0.019423041
200,1294340,0.3609,0.0001,8.962553,0.038528707,0.25317383,0.038847983,9.795903,0.0189716,0.35060883,0.015316379
201,1294341,0.368,0.0001,9.946314,0.07695572,1.0721855,0.039283793,10.36678,0.038916785,1.0857964,0.015661353
202,1294351,0.3383,0.0001,8.923569,0.06246171,0.44713593,0.06204814,9.227867,0.031233089,0.37667847,0.01585323
203,1294743,0.3126,0.0001,9.399243,0.057019003,1.0574112,0.060659457,10.264114,0.011777581,0.958622,0.014278901
204,1295249,0.5327,0.0001,10.255035,0.1218042,1.6535873,0.106985636,10.615503,0.034951314,1.515625,0.023238305
205,1295285,0.5251,0.0001,9.235165,0.10026316,1.5175476,0.16257048,10.300777,0.026101483,1.5038605,0.024503298
206,1295315,0.3489,0.0001,10.7924595,0.051504355,2.0315666,0.069130376,10.852596,0.10183504,1.7055664,0.01999974
207,1295592,0.3563,0.0001,9.733307,0.056523204,1.3824196,0.06838945,10.9832,0.011738332,1.5279198,0.0135771595
208,1296321,0.1844,0.0001,8.969442,0.05750907,0.60235596,0.08425161,9.256336,0.019757206,0.67700195,0.03259384
209,1296963,0.4881,0.0001,9.85489,0.04113204,1.0465851,0.07727958,10.802254,0.0168198,1.0396042,0.018505668
210,1297061,0.5339,0.0001,9.49508,0.07485553,1.2056694,0.0778692,10.0044565,0.021445842,1.2001076,0.031097742
211,1297063,0.4352,0.0001,9.820666,0.033261307,1.1512222,0.058576047,10.576216,0.013534992,0.97998047,0.013944235
212,1297157,0.5489,0.0001,10.232821,0.09440847,1.1811295,0.1299396,10.641802,0.048547782,1.070488,0.02214171
213,1297318,0.3348,0.0001,9.494243,0.04941388,0.73363876,0.09725583,10.035567,0.018066725,0.6491852,0.0155367935
214,1297353,0.544,0.0001,8.731125,0.109070905,0.89527893,0.17821918,9.658167,0.050757773,0.98895264,0.04633229
215,1297465,0.2778,0.0001,8.713366,0.040580034,0.8799324,0.08080693,9.994093,0.010505004,0.9114647,0.014932468
216,1297742,0.4626,0.0001,10.201194,0.11077025,1.7236328,0.108513944,10.852963,0.031658225,1.3686829,0.015431575
